Action,Side,Price,Quantity,Stoploss,SLTriggerBy,LeavesQuantity,ReduceOnly,TIF,OrderStatus,OrderID,CratedAt,UpdatedAt,Time
Close,Buy,20706.5,371,NA,NA,371,True,ImmediateOrCancel,Created,6f05c172-fc15-46f2-8921-6715a3d1848d,2022-09-27T04:00:12.631Z,2022-09-27T04:00:12.632Z,1664251212.632313
Open,Buy,20706.5,638,18851.0,MarkPrice,638,False,ImmediateOrCancel,Created,17f3176a-021c-43b1-a56c-6ca026ef3370,2022-09-27T04:00:13.630Z,2022-09-27T04:00:13.630Z,1664251213.630816
Modify,Sell,19502.5,6,NA,NA,6,True,ImmediateOrCancel,Created,8bc8908e-6d60-4a8a-8707-9b60b20e1f2a,2022-09-27T04:00:15.019Z,2022-09-27T04:00:15.019Z,1664251215.019850
Open,Buy,20944,1353,19752.5,MarkPrice,1353,False,ImmediateOrCancel,Created,4b60e0a1-c33f-42da-8dd1-705e9a7c0488,2022-10-05T00:00:07.635Z,2022-10-05T00:00:07.635Z,1664928007.636109
Open,Sell,18977.5,1228,20176.0,MarkPrice,1228,False,ImmediateOrCancel,Created,94c7bfc1-ab1e-4123-99cf-550ad3a180ba,2022-10-07T16:00:09.072Z,2022-10-07T16:00:09.072Z,1665158409.073282
Modify,Buy,20150,12,NA,NA,12,True,ImmediateOrCancel,Created,5cbc01e8-7683-4349-8a4f-cfebfd8423f4,2022-10-07T16:00:10.589Z,2022-10-07T16:00:10.589Z,1665158410.589442
Close,Buy,20404,1216,NA,NA,1216,True,ImmediateOrCancel,Created,d139e284-1874-4aa2-a7f3-84e27fc378e6,2022-10-14T04:00:07.626Z,2022-10-14T04:00:07.626Z,1665720007.627073
Open,Buy,20403.5,687,18785.5,MarkPrice,687,False,ImmediateOrCancel,Created,0e9cf3f8-80f0-4eec-b206-9876d211e768,2022-10-14T04:00:08.657Z,2022-10-14T04:00:08.657Z,1665720008.658040
Modify,Sell,19216,2,NA,NA,2,True,ImmediateOrCancel,Created,090f9356-c4c5-4c6d-a4de-6649e234affb,2022-10-14T04:00:09.971Z,2022-10-14T04:00:09.971Z,1665720009.971450
Close,Sell,18460,685,NA,NA,685,True,ImmediateOrCancel,Created,a6ebdb1f-884e-420b-b3c7-9f075c4d07d2,2022-10-20T04:00:08.015Z,2022-10-20T04:00:08.015Z,1666238408.016108
Open,Sell,18460,1776,19395.5,MarkPrice,1776,False,ImmediateOrCancel,Created,6c7009bf-87b3-4b95-a9ef-4713bd49d1d2,2022-10-20T04:00:08.996Z,2022-10-20T04:00:08.996Z,1666238408.997135
Open,Buy,20081,1198,18959.5,MarkPrice,1198,False,ImmediateOrCancel,Created,8833b6cb-e165-4ff5-9a77-e5ce0be7e4a7,2022-10-23T20:00:12.705Z,2022-10-23T20:00:12.705Z,1666555212.706079
Modify,Sell,18912,15,NA,NA,15,True,ImmediateOrCancel,Created,2c7404c4-ca86-4976-9239-317ea60b43ef,2022-10-23T20:00:14.536Z,2022-10-23T20:00:14.536Z,1666555214.536712
Close,Sell,19178.5,1183,NA,NA,1183,True,ImmediateOrCancel,Created,8312dcdf-2337-4a6d-914c-488ee6ebbfb5,2022-11-08T08:00:18.533Z,2022-11-08T08:00:18.533Z,1667894418.534079
Open,Sell,19178.5,604,21010.5,MarkPrice,604,False,ImmediateOrCancel,Created,207700c5-5364-47e7-976c-e0cfc75182b3,2022-11-08T08:00:20.757Z,2022-11-08T08:00:20.757Z,1667894420.758362
Modify,Buy,20363.5,6,NA,NA,6,True,ImmediateOrCancel,Created,2721af16-8d80-4080-86ff-159c547188c1,2022-11-08T08:00:23.232Z,2022-11-08T08:00:23.232Z,1667894423.232955
Close,Buy,17347.5,598,NA,NA,598,True,ImmediateOrCancel,Created,b2ab93c4-ea63-4792-9219-ad69a219f1dc,2022-11-30T04:00:07.380Z,2022-11-30T04:00:07.380Z,1669780807.380624
Open,Buy,17347.5,891,16240.0,MarkPrice,891,False,ImmediateOrCancel,Created,df1749d2-1cd5-45f3-ae75-8cb69aee2086,2022-11-30T04:00:08.407Z,2022-11-30T04:00:08.407Z,1669780808.408345
Modify,Sell,16337.5,10,NA,NA,10,True,ImmediateOrCancel,Created,6f9cce69-3f2d-444b-bd15-14016020d667,2022-11-30T04:00:09.753Z,2022-11-30T04:00:09.753Z,1669780809.753840
Close,Sell,16400.5,881,NA,NA,881,True,ImmediateOrCancel,Created,171e0e14-ede9-4a90-9d49-d6ac112a493a,2022-12-12T04:00:07.113Z,2022-12-12T04:00:07.113Z,1670817607.114252
Open,Sell,16400.5,1229,17367.5,MarkPrice,1229,False,ImmediateOrCancel,Created,6af34849-7a20-4729-8f4b-7b42e832d80c,2022-12-12T04:00:08.076Z,2022-12-12T04:00:08.076Z,1670817608.076981
Open,Buy,17969.5,1197,16986.0,MarkPrice,1197,False,ImmediateOrCancel,Created,ce0b1af0-8c9f-4137-9019-1456443b670f,2022-12-13T12:00:08.003Z,2022-12-13T12:00:08.003Z,1670932808.004523
Modify,Sell,16923.5,8,NA,NA,8,True,ImmediateOrCancel,Created,60b10221-5a00-453f-9e35-d67c5940d326,2022-12-13T12:00:09.546Z,2022-12-13T12:00:09.547Z,1670932809.547564
Open,Sell,16499,876,17629.5,MarkPrice,876,False,ImmediateOrCancel,Created,5509de0a-a0f3-4f1e-8d79-511c6d57e399,2022-12-16T12:00:07.325Z,2022-12-16T12:00:07.325Z,1671192007.326092
Modify,Buy,17521.5,9,NA,NA,9,True,ImmediateOrCancel,Created,3a4dd7c3-6d0f-40a9-8e34-45055a5ccacc,2022-12-16T12:00:08.650Z,2022-12-16T12:00:08.650Z,1671192008.651500
Close,Buy,17635,867,NA,NA,867,True,ImmediateOrCancel,Created,b2e9ff78-fd71-470b-a6b5-e21657653044,2023-01-09T00:00:06.733Z,2023-01-09T00:00:06.733Z,1673222406.733935
Open,Buy,17635.5,1625,16814.0,MarkPrice,1625,False,ImmediateOrCancel,Created,9af8a098-a3a5-487b-9def-c4dccb7a17d1,2023-01-09T00:00:07.688Z,2023-01-09T00:00:07.688Z,1673222407.688876
Modify,Sell,16610,12,NA,NA,12,True,ImmediateOrCancel,Created,006a5fd4-56f4-4511-9f57-f92afe2666e0,2023-01-09T00:00:08.948Z,2023-01-09T00:00:08.948Z,1673222408.949378
Close,Sell,20266,1613,NA,NA,1613,True,ImmediateOrCancel,Created,79abf943-6f66-433b-8ac6-723f14981060,2023-01-18T20:00:07.031Z,2023-01-18T20:00:07.031Z,1674072007.032316
Open,Sell,20266.5,1263,21770.5,MarkPrice,1263,False,ImmediateOrCancel,Created,673e867e-1c4a-460c-bed1-43bcc5c2f674,2023-01-18T20:00:08.062Z,2023-01-18T20:00:08.062Z,1674072008.062841
Open,Buy,23327.5,614,20827.0,MarkPrice,614,False,ImmediateOrCancel,Created,575096a3-6396-478c-8b37-a700e628194b,2023-01-21T00:00:07.163Z,2023-01-21T00:00:07.163Z,1674259207.164505
Close,Sell,22212.5,614,NA,NA,614,True,ImmediateOrCancel,Created,114c5d33-c6ad-49c3-9e2c-d6f19a240b7f,2023-02-05T20:00:07.304Z,2023-02-05T20:00:07.304Z,1675627207.305225
Open,Sell,22213,1905,23557.5,MarkPrice,1905,False,ImmediateOrCancel,Created,af829ea6-16c3-4bf0-93fc-eba8504716fa,2023-02-05T20:00:08.447Z,2023-02-05T20:00:08.447Z,1675627208.448342
Modify,Buy,23586,10,NA,NA,10,True,ImmediateOrCancel,Created,1506bd57-9707-4a51-82ae-c64f7cd79853,2023-02-05T20:00:09.896Z,2023-02-05T20:00:09.896Z,1675627209.897643
Close,Buy,22722,1895,NA,NA,1895,True,ImmediateOrCancel,Created,8cbd8730-3b2b-4cad-a351-52eca2be9da2,2023-02-14T16:00:07.072Z,2023-02-14T16:00:07.072Z,1676390407.073503
Open,Buy,22726,1848,21437.5,MarkPrice,1848,False,ImmediateOrCancel,Created,b4ef9542-6574-488d-a940-e9ed64ffdc12,2023-02-14T16:00:08.067Z,2023-02-14T16:00:08.067Z,1676390408.067765
Modify,Sell,21403,11,NA,NA,11,True,ImmediateOrCancel,Created,7511beb5-0612-412a-8922-899e283b54ba,2023-02-14T16:00:10.442Z,2023-02-14T16:00:10.442Z,1676390410.442930
Close,Sell,22488.5,1837,NA,NA,1837,True,ImmediateOrCancel,Created,d6a624c6-d5c1-47eb-aa24-d3b68f97acc2,2023-02-24T20:00:07.157Z,2023-02-24T20:00:07.157Z,1677268807.157965
Open,Sell,22489,1487,24163.0,MarkPrice,1487,False,ImmediateOrCancel,Created,87f60e61-3b3f-4361-8533-b18cefb17c15,2023-02-24T20:00:08.159Z,2023-02-24T20:00:08.159Z,1677268808.159793
Close,Buy,21604.5,1487,NA,NA,1487,True,ImmediateOrCancel,Created,4e485463-c782-4479-84d9-80d71c4865d4,2023-03-12T20:00:07.235Z,2023-03-12T20:00:07.235Z,1678651207.236393
Open,Buy,21604.5,1971,20349.0,MarkPrice,1971,False,ImmediateOrCancel,Created,d58621a0-f672-4ddc-9933-6276bc064f5d,2023-03-12T20:00:08.552Z,2023-03-12T20:00:08.552Z,1678651208.552597
Modify,Sell,20346.5,40,NA,NA,40,True,ImmediateOrCancel,Created,05530cef-8e4c-4158-8242-c3c9aff7c8bb,2023-03-12T20:00:10.286Z,2023-03-12T20:00:10.286Z,1678651210.287090
Close,Sell,26085.5,1931,NA,NA,1931,True,ImmediateOrCancel,Created,8388b659-c74e-4efe-8f2d-79f3cdc63ccc,2023-03-27T16:00:07.193Z,2023-03-27T16:00:07.193Z,1679932807.193942
Open,Sell,26081.5,2190,28164.5,MarkPrice,2190,False,ImmediateOrCancel,Created,805e7e26-5fbe-4459-8b17-167394f74215,2023-03-27T16:00:09.108Z,2023-03-27T16:00:09.108Z,1679932809.108778
Modify,Buy,27692,19,NA,NA,19,True,ImmediateOrCancel,Created,b24b201d-5a4a-4fa6-9cc8-5852287a41b9,2023-03-27T16:00:11.089Z,2023-03-27T16:00:11.089Z,1679932811.090297
Open,Buy,29209.5,2129,27089.0,MarkPrice,2129,False,ImmediateOrCancel,Created,e7ddb4ca-9b5b-46dd-8dd6-e6e8c768bb42,2023-03-29T12:00:08.466Z,2023-03-29T12:00:08.466Z,1680091208.467444
Modify,Sell,27508.5,12,NA,NA,12,True,ImmediateOrCancel,Created,70677b6d-27b5-457d-a4f1-b802e4118535,2023-03-29T12:00:10.165Z,2023-03-29T12:00:10.165Z,1680091210.166362
Close,Sell,29071.5,2117,NA,NA,2117,True,ImmediateOrCancel,Created,2b509497-cccb-4b94-849b-9d6213a39e6d,2023-04-17T04:00:08.009Z,2023-04-17T04:00:08.009Z,1681704008.009771
Open,Sell,29071,4239,30745.5,MarkPrice,4239,False,ImmediateOrCancel,Created,7d764f0e-137f-4059-9522-f2bd2772e10e,2023-04-17T04:00:09.159Z,2023-04-17T04:00:09.159Z,1681704009.159788
Close,Buy,29137,4239,NA,NA,4239,True,ImmediateOrCancel,Created,b0a56d09-b87f-4379-b20b-c5528a907615,2023-04-26T00:00:07.686Z,2023-04-26T00:00:07.686Z,1682467207.686988
Open,Buy,29136.5,2469,27049.5,MarkPrice,2469,False,ImmediateOrCancel,Created,a339ec7f-954a-4a4f-ad11-ce1b6b96ec9c,2023-04-26T00:00:09.059Z,2023-04-26T00:00:09.059Z,1682467209.060438
Modify,Sell,27441,18,NA,NA,18,True,ImmediateOrCancel,Created,d3a5a730-2b56-44c7-b771-26e7af7be231,2023-04-26T00:00:10.523Z,2023-04-26T00:00:10.523Z,1682467210.524319
